Output Number, Steps To Reach 1, Cache Hit Rate
84, 9, 41.70
91, 92, 41.80
63, 107, 41.90
52, 11, 42.00
70, 14, 42.10
14, 17, 42.20
93, 17, 42.30
51, 24, 42.40
57, 32, 42.50
51, 24, 42.60
40, 8, 42.70
94, 105, 42.80
14, 17, 42.90
23, 15, 43.00
6, 8, 43.10
28, 18, 43.20
90, 17, 43.30
54, 112, 43.40
49, 24, 43.50
44, 16, 43.60
61, 19, 43.70
28, 18, 43.80
39, 34, 43.90
3, 7, 44.00
82, 110, 44.10
8, 3, 44.20
56, 19, 44.30
26, 10, 44.40
62, 107, 44.50
3, 7, 44.60
8, 3, 44.70
27, 111, 44.80
95, 105, 44.90
66, 27, 45.00
84, 9, 45.10
35, 13, 45.20
48, 11, 45.30
15, 17, 45.40
33, 26, 45.50
65, 27, 45.60
52, 11, 45.70
44, 16, 45.80
53, 11, 45.90
14, 17, 46.00
93, 17, 46.10
35, 13, 46.20
8, 3, 46.30
12, 9, 46.40
59, 32, 46.50
28, 18, 46.60
55, 112, 46.70
18, 20, 46.80
16, 4, 46.90
47, 104, 47.00
86, 30, 47.10
4, 2, 47.20
85, 9, 47.30
71, 102, 47.40
74, 22, 47.50
75, 14, 47.60
13, 9, 47.70
27, 111, 47.80
24, 10, 47.90
23, 15, 48.00
58, 19, 48.10
76, 22, 48.20
35, 13, 48.30
22, 15, 48.40
36, 21, 48.50
23, 15, 48.60
45, 16, 48.70
75, 14, 48.80
16, 4, 48.90
61, 19, 49.00
94, 105, 49.10
35, 13, 49.20
10, 6, 49.30
22, 15, 49.40
54, 112, 49.50
70, 14, 49.60
80, 9, 49.70
24, 10, 49.80
70, 14, 49.90
47, 104, 50.00
67, 27, 50.10
95, 105, 50.20
78, 35, 50.30
72, 22, 50.40
80, 9, 50.50
77, 22, 50.60
7, 16, 50.70
55, 112, 50.80
52, 11, 50.90
44, 16, 51.00
58, 19, 51.10
60, 19, 51.20
6, 8, 51.30
92, 17, 51.40
75, 14, 51.50
6, 8, 51.60
32, 5, 51.70
18, 20, 51.80
64, 6, 51.90
55, 112, 52.00
4, 2, 52.10
14, 17, 52.20
15, 17, 52.30
80, 9, 52.40
66, 27, 52.50
34, 13, 52.60
56, 19, 52.70
43, 29, 52.80
5, 5, 52.90
60, 19, 53.00
11, 14, 53.10
57, 32, 53.20
8, 3, 53.30
76, 22, 53.40
79, 35, 53.50
91, 92, 53.60
90, 17, 53.70
32, 5, 53.80
10, 6, 53.90
71, 102, 54.00
31, 106, 54.10
83, 110, 54.20
3, 7, 54.30
43, 29, 54.40
9, 19, 54.50
85, 9, 54.60
76, 22, 54.70
49, 24, 54.80
18, 20, 54.90
29, 18, 55.00
84, 9, 55.10
97, 118, 55.20
7, 16, 55.30
4, 2, 55.40
73, 115, 55.50
44, 16, 55.60
57, 32, 55.70
76, 22, 55.80
84, 9, 55.90
95, 105, 56.00
17, 12, 56.10
